861             800          
15.000000     4.000000      0.080000       
15.000000     5.000000      0.100000       
15.000000     6.000000      0.120000       
15.000000     7.000000      0.140000       
15.000000     8.000000      0.160000       
15.000000     9.000000      0.180000       
15.000000     10.000000     0.200000       
15.000000     11.000000     0.220000       
15.000000     12.000000     0.240000       
15.000000     13.000000     0.260000       
15.000000     14.000000     0.280000       
15.000000     15.000000     0.300000       
15.000000     16.000000     0.320000       
15.000000     17.000000     0.340000       
15.000000     18.000000     0.360000       
15.000000     19.000000     0.380000       
15.000000     20.000000     0.400000       
15.000000     21.000000     0.420000       
15.000000     22.000000     0.440000       
15.000000     23.000000     0.460000       
15.000000     24.000000     0.480000       
15.000000     25.000000     0.500000       
15.000000     26.000000     0.520000       
15.000000     27.000000     0.540000       
15.000000     28.000000     0.560000       
15.000000     29.000000     0.580000       
15.000000     30.000000     0.600000       
15.000000     31.000000     0.620000       
15.000000     32.000000     0.640000       
15.000000     33.000000     0.660000       
15.000000     34.000000     0.680000       
15.000000     35.000000     0.700000       
15.000000     36.000000     0.720000       
15.000000     37.000000     0.740000       
15.000000     38.000000     0.760000       
15.000000     39.000000     0.780000       
15.000000     40.000000     0.800000       
16.000000     0.000000      0.000000       
16.000000     1.000000      0.020000       
16.000000     2.000000      0.040000       
16.000000     3.000000      0.060000       
16.000000     4.000000      0.080000       
16.000000     5.000000      0.100000       
16.000000     6.000000      0.120000       
16.000000     7.000000      0.140000       
16.000000     8.000000      0.160000       
16.000000     9.000000      0.180000       
16.000000     10.000000     0.200000       
16.000000     11.000000     0.220000       
16.000000     12.000000     0.240000       
16.000000     13.000000     0.260000       
16.000000     14.000000     0.280000       
16.000000     15.000000     0.300000       
16.000000     16.000000     0.320000       
16.000000     17.000000     0.340000       
16.000000     18.000000     0.360000       
16.000000     19.000000     0.380000       
16.000000     20.000000     0.400000       
16.000000     21.000000     0.420000       
16.000000     22.000000     0.440000       
16.000000     23.000000     0.460000       
16.000000     24.000000     0.480000       
16.000000     25.000000     0.500000       
16.000000     26.000000     0.520000       
16.000000     27.000000     0.540000       
16.000000     28.000000     0.560000       
16.000000     29.000000     0.580000       
16.000000     30.000000     0.600000       
16.000000     31.000000     0.620000       
16.000000     32.000000     0.640000       
16.000000     33.000000     0.660000       
16.000000     34.000000     0.680000       
16.000000     35.000000     0.700000       
16.000000     36.000000     0.720000       
